,State,City,Population,Total_law_enforcement_employees,Total_crime,employees_perCapita,crime_perCapita
1271,LOUISIANA,Patterson,5616.0,27,94.0,0.004807692307692308,0.01673789173789174
1272,LOUISIANA,Ponchatoula,7648.0,32,247.0,0.0041841004184100415,0.03229602510460251
1273,LOUISIANA,Rayville,3411.0,13,27.0,0.0038111990618586926,0.0079155672823219
1274,LOUISIANA,Ruston,21888.0,47,813.0,0.0021472953216374268,0.037143640350877194
1275,LOUISIANA,Tallulah,6382.0,13,97.0,0.002036979003447195,0.015198997179567533
1276,LOUISIANA,Thibodaux,14402.0,66,449.0,0.004582696847660047,0.031176225524232746
1278,LOUISIANA,Vinton,3192.0,15,127.0,0.004699248120300752,0.039786967418546364
1279,LOUISIANA,Westlake,4906.0,15,113.0,0.0030574806359559724,0.023033020790868323
1280,LOUISIANA,Westwego,8274.0,40,185.0,0.0048344210780759,0.02235919748610104
1281,LOUISIANA,Zachary,18774.0,41,638.0,0.0021838713113880898,0.03398316821135613
1282,MAINE,Ashland,1206.0,4,4.0,0.003316749585406302,0.003316749585406302
1283,MAINE,Auburn,23446.0,59,703.0,0.002516420711421991,0.029983792544570502
1284,MAINE,Augusta,18713.0,57,622.0,0.003046010794634746,0.03323892481162828
1285,MAINE,Baileyville,1450.0,4,6.0,0.002758620689655172,0.004137931034482759
1286,MAINE,Bangor,31898.0,93,1514.0,0.002915543294250423,0.04746379083328108
1287,MAINE,Bar Harbor,7752.0,28,37.0,0.003611971104231166,0.0047729618163054694
1288,MAINE,Bath,8320.0,23,77.0,0.002764423076923077,0.009254807692307692
1289,MAINE,Belfast,6712.0,17,47.0,0.002532777115613826,0.00700238379022646
1290,MAINE,Berwick,8074.0,11,75.0,0.0013623978201634877,0.009289076046569235
1291,MAINE,Biddeford,21523.0,81,608.0,0.003763415880685778,0.02824885006736979
1292,MAINE,Boothbay Harbor,2232.0,6,9.0,0.002688172043010753,0.004032258064516129
1293,MAINE,Brewer,8897.0,23,265.0,0.0025851410587838597,0.029785320894683602
1294,MAINE,Bridgton,5539.0,9,54.0,0.0016248420292471566,0.009749052175482938
1295,MAINE,Brunswick,20656.0,38,174.0,0.0018396591789310612,0.008423702556158017
1296,MAINE,Bucksport,4917.0,14,44.0,0.002847264592231035,0.008948545861297539
1297,MAINE,Buxton,8402.0,14,85.0,0.0016662699357295882,0.010116638895501072
1298,MAINE,Calais,3017.0,3,29.0,0.0009943652635067948,0.00961219754723235
1299,MAINE,Camden,4802.0,13,25.0,0.0027072053311120365,0.005206164098292378
1300,MAINE,Cape Elizabeth,9356.0,13,10.0,0.0013894826849080804,0.0010688328345446773
1301,MAINE,Caribou,7570.0,16,56.0,0.0021136063408190224,0.007397622192866579
1302,MAINE,Carrabassett Valley,789.0,1,6.0,0.0012674271229404308,0.0076045627376425855
1303,MAINE,Clinton,3358.0,3,13.0,0.0008933889219773674,0.003871351995235259
1304,MAINE,Cumberland,8415.0,15,28.0,0.0017825311942959,0.0033273915626856805
1305,MAINE,Damariscotta,2153.0,6,24.0,0.002786809103576405,0.01114723641430562
1306,MAINE,Dexter,3685.0,6,28.0,0.0016282225237449117,0.007598371777476255
1307,MAINE,Dover-Foxcroft,4073.0,6,30.0,0.0014731156395777069,0.007365578197888534
1308,MAINE,East Millinocket,7139.0,9,97.0,0.0012606807676145118,0.013587337162067517
1309,MAINE,Eliot,7212.0,8,23.0,0.0011092623405435386,0.0031891292290626735
1310,MAINE,Ellsworth,8302.0,23,161.0,0.0027704167670440857,0.0193929173693086
1311,MAINE,Fairfield,6534.0,11,145.0,0.0016835016835016834,0.02219161310070401
1312,MAINE,Falmouth,12573.0,29,69.0,0.0023065298655849838,0.0054879503698401335
1313,MAINE,Farmington,7621.0,10,78.0,0.001312163758037003,0.010234877312688623
1314,MAINE,Fort Fairfield,3258.0,3,24.0,0.0009208103130755065,0.007366482504604052
1315,MAINE,Fort Kent,3778.0,9,12.0,0.002382212811011117,0.0031762837480148226
1316,MAINE,Freeport,8713.0,18,75.0,0.0020658785722483643,0.008607827384368185
1317,MAINE,Fryeburg,3435.0,3,41.0,0.0008733624454148472,0.011935953420669578
1318,MAINE,Gardiner,5675.0,11,56.0,0.0019383259911894273,0.00986784140969163
1319,MAINE,Gorham,18130.0,25,75.0,0.0013789299503585218,0.004136789851075565
1320,MAINE,Gouldsboro,1744.0,2,0.0,0.0011467889908256881,0.0
1321,MAINE,Greenville,1626.0,3,30.0,0.0018450184501845018,0.01845018450184502
1322,MAINE,Hallowell,2386.0,5,11.0,0.0020955574182732607,0.004610226320201173
1323,MAINE,Hampden,7537.0,12,48.0,0.00159214541594799,0.00636858166379196
1324,MAINE,Holden,3124.0,6,24.0,0.0019206145966709346,0.0076824583866837385
1325,MAINE,Houlton,5732.0,17,209.0,0.0029658060013956736,0.03646196789951151
1326,MAINE,Islesboro,562.0,1,0.0,0.0017793594306049821,0.0
1327,MAINE,Jay,4575.0,9,42.0,0.0019672131147540984,0.009180327868852459
1328,MAINE,Kennebunk,11799.0,25,59.0,0.002118823629121112,0.005000423764725824
1330,MAINE,Kittery,9915.0,29,100.0,0.002924861321230459,0.010085728693898134
1331,MAINE,Lewiston,36191.0,92,687.0,0.0025420684700616174,0.018982619988394903
1332,MAINE,Limestone,2150.0,3,7.0,0.0013953488372093023,0.0032558139534883722
1333,MAINE,Lincoln,4862.0,11,128.0,0.0022624434389140274,0.02632661456190868
1334,MAINE,Lisbon,9057.0,19,59.0,0.002097824886827868,0.006514298332781274
1335,MAINE,Livermore Falls,3178.0,6,25.0,0.0018879798615481435,0.007866582756450597
1336,MAINE,Madawaska,3686.0,5,68.0,0.0013564839934888768,0.018448182311448725
1337,MAINE,Mechanic Falls,2977.0,2,19.0,0.0006718172657037286,0.006382264024185421
1338,MAINE,Mexico,2631.0,4,88.0,0.0015203344735841885,0.03344735841885215
1339,MAINE,Milbridge,1296.0,1,0.0,0.0007716049382716049,0.0
1340,MAINE,Milo,2311.0,4,40.0,0.0017308524448290783,0.01730852444829078
1341,MAINE,Newport,3245.0,6,61.0,0.0018489984591679508,0.018798151001540832
1342,MAINE,North Berwick,4762.0,9,23.0,0.0018899622007559848,0.004829903401931962
1343,MAINE,Norway,4988.0,10,57.0,0.002004811547714515,0.011427425821972734
1344,MAINE,Oakland,6351.0,10,45.0,0.001574555188159345,0.007085498346717053
1346,MAINE,Old Orchard Beach,9145.0,24,145.0,0.002624384909786769,0.015855658829961726
1347,MAINE,Old Town,7362.0,15,106.0,0.002037489812550937,0.014398261342026623
1348,MAINE,Orono,10666.0,13,69.0,0.0012188261766360397,0.006469154322145134
1349,MAINE,Oxford,4102.0,10,58.0,0.0024378352023403218,0.014139444173573866
1350,MAINE,Paris,5161.0,9,38.0,0.0017438480914551443,0.007362914163921721
1351,MAINE,Phippsburg,2281.0,1,3.0,0.00043840420868040335,0.00131521262604121
1352,MAINE,Pittsfield,3982.0,8,23.0,0.0020090406830738324,0.005775991963837268
1353,MAINE,Portland,66875.0,203,1352.0,0.0030355140186915886,0.020216822429906543
1354,MAINE,Presque Isle,8882.0,21,156.0,0.0023643323575771222,0.017563611799144337
1355,MAINE,Rangeley,1149.0,2,5.0,0.0017406440382941688,0.004351610095735422
1356,MAINE,Rockland,7172.0,17,87.0,0.002370329057445622,0.012130507529280535
1357,MAINE,Rockport,3395.0,5,18.0,0.0014727540500736377,0.005301914580265096
1358,MAINE,Rumford,5726.0,15,74.0,0.002619629758994062,0.012923506811037374
1359,MAINE,Sabattus,5077.0,6,10.0,0.0011818002757533978,0.0019696671262556626
1360,MAINE,Saco,20290.0,46,255.0,0.002267126663380976,0.012567767373090193
1361,MAINE,Sanford,21300.0,42,551.0,0.001971830985915493,0.025868544600938966
1362,MAINE,Scarborough,21810.0,57,349.0,0.0026134800550206326,0.016001834021091243
1363,MAINE,Skowhegan,8205.0,18,234.0,0.0021937842778793418,0.028519195612431443
1364,MAINE,South Berwick,7654.0,11,40.0,0.0014371570420695062,0.005226025607525477
1365,MAINE,South Portland,26048.0,57,408.0,0.002188267813267813,0.015663390663390665
1367,MAINE,Thomaston,2761.0,6,38.0,0.0021731256791017745,0.013763129300977906
1368,MAINE,Topsham,8960.0,17,85.0,0.0018973214285714286,0.009486607142857142
1369,MAINE,Veazie,1815.0,4,13.0,0.0022038567493112946,0.007162534435261708
1370,MAINE,Waldoboro,5079.0,6,34.0,0.0011813349084465446,0.006694231147863753
1371,MAINE,Washburn,1519.0,3,6.0,0.0019749835418038184,0.003949967083607637
1372,MAINE,Waterville,16667.0,40,692.0,0.0023999520009599807,0.04151916961660767
1373,MAINE,Wells,10950.0,33,119.0,0.0030136986301369864,0.010867579908675798
1374,MAINE,Westbrook,19451.0,45,237.0,0.0023135057323530922,0.012184463523726286
1375,MAINE,Wilton,3912.0,4,36.0,0.0010224948875255625,0.009202453987730062
1376,MAINE,Windham,19118.0,31,122.0,0.001621508525996443,0.006381420650695679
1377,MAINE,Winslow,7641.0,12,95.0,0.0015704750687082843,0.012432927627273917
1378,MAINE,Winter Harbor,510.0,1,5.0,0.00196078431372549,0.00980392156862745
1379,MAINE,Winthrop,6023.0,13,49.0,0.002158392827494604,0.008135480657479661
1380,MAINE,Wiscasset,3750.0,5,26.0,0.0013333333333333333,0.006933333333333333
1381,MAINE,Yarmouth,8628.0,14,39.0,0.0016226240148354196,0.004520166898470098
1382,MAINE,York,13413.0,36,104.0,0.0026839633191679713,0.007753671810929695
1383,MASSACHUSETTS,Acton,23853.0,51,127.0,0.002138095837001635,0.005324277868611915
1384,MASSACHUSETTS,Acushnet,10798.0,26,41.0,0.0024078533061678087,0.0037969994443415446
1385,MASSACHUSETTS,Agawam,28757.0,60,362.0,0.002086448516882846,0.01258823938519317
1386,MASSACHUSETTS,Amesbury,17809.0,39,76.0,0.002189903981133135,0.004267505194003032
1387,MASSACHUSETTS,Amherst,40843.0,46,207.0,0.0011262639864848322,0.005068187939181745
1388,MASSACHUSETTS,Andover,37216.0,68,199.0,0.001827171109200344,0.005347162510748065
1390,MASSACHUSETTS,Arlington,45767.0,73,154.0,0.0015950357244302663,0.0033648698844145346
1391,MASSACHUSETTS,Ashburnham,6429.0,17,27.0,0.002644268159900451,0.004199720018665422
1392,MASSACHUSETTS,Ashby,3242.0,7,25.0,0.00215916101172116,0.0077112893275755705
1393,MASSACHUSETTS,Ashfield,1718.0,1,11.0,0.0005820721769499418,0.006402793946449359
1394,MASSACHUSETTS,Ashland,18160.0,29,76.0,0.0015969162995594713,0.004185022026431718
1395,MASSACHUSETTS,Attleboro,46007.0,85,715.0,0.0018475449388136588,0.015541113308844307
1396,MASSACHUSETTS,Auburn,16885.0,48,290.0,0.002842759846017175,0.017175007403020432
1397,MASSACHUSETTS,Avon,4631.0,20,131.0,0.004318721658389117,0.028287626862448716
1398,MASSACHUSETTS,Ayer,8357.0,31,66.0,0.0037094651190618644,0.00789757089864784
1399,MASSACHUSETTS,Barnstable,44841.0,130,528.0,0.0028991324903548093,0.01177493811467184
1400,MASSACHUSETTS,Barre,5637.0,10,32.0,0.0017739932588256165,0.005676778428241973
1401,MASSACHUSETTS,Becket,1700.0,5,7.0,0.0029411764705882353,0.00411764705882353
1402,MASSACHUSETTS,Belchertown,15148.0,29,88.0,0.001914444151043042,0.005809347768682334
1403,MASSACHUSETTS,Bellingham,17634.0,39,200.0,0.0022116366110922084,0.011341726210729272
1404,MASSACHUSETTS,Belmont,26206.0,56,185.0,0.002136915210257193,0.00705945203388537
1405,MASSACHUSETTS,Berkley,7007.0,9,16.0,0.0012844298558584272,0.0022834308548594262
1406,MASSACHUSETTS,Bernardston,2085.0,3,26.0,0.0014388489208633094,0.012470023980815348
1407,MASSACHUSETTS,Beverly,42851.0,55,253.0,0.0012835173041469278,0.005904179599075868
1408,MASSACHUSETTS,Billerica,43644.0,75,210.0,0.001718449271377509,0.004811657959857025
1409,MASSACHUSETTS,Blackstone,9304.0,22,23.0,0.0023645743766122097,0.002472055030094583
1410,MASSACHUSETTS,Bolton,5579.0,13,28.0,0.0023301666965405985,0.005018820577164366
1412,MASSACHUSETTS,Boxborough,5880.0,19,19.0,0.0032312925170068026,0.0032312925170068026
1413,MASSACHUSETTS,Boxford,8436.0,12,13.0,0.001422475106685633,0.0015410146989094358
1414,MASSACHUSETTS,Boylston,4806.0,15,20.0,0.003121098626716604,0.004161464835622139
1415,MASSACHUSETTS,Braintree,37643.0,102,400.0,0.0027096671359880986,0.010626145631325877
1416,MASSACHUSETTS,Brewster,9843.0,27,66.0,0.0027430661383724473,0.006705272782688205
1418,MASSACHUSETTS,Brockton,100516.0,220,2341.0,0.002188706275617812,0.023289824505551355
1419,MASSACHUSETTS,Brookfield,3473.0,5,16.0,0.0014396775122372588,0.004606968039159228
1420,MASSACHUSETTS,Brookline,59748.0,152,603.0,0.0025440182098145545,0.010092388029724845
1421,MASSACHUSETTS,Burlington,29087.0,73,312.0,0.002509712242582597,0.010726441365558496
1422,MASSACHUSETTS,Cambridge,121699.0,303,2736.0,0.0024897492995012284,0.02248169664500119
1423,MASSACHUSETTS,Canton,24570.0,45,216.0,0.0018315018315018315,0.008791208791208791
1424,MASSACHUSETTS,Carlisle,5312.0,15,27.0,0.0028237951807228916,0.005082831325301205
1425,MASSACHUSETTS,Carver,12347.0,22,74.0,0.0017818093463999353,0.005993358710617964
1426,MASSACHUSETTS,Charlton,13881.0,27,45.0,0.0019451048195374973,0.003241841365895829
1427,MASSACHUSETTS,Chatham,6031.0,27,55.0,0.004476869507544354,0.00911954899684961
1428,MASSACHUSETTS,Chelmsford,35985.0,68,274.0,0.00188967625399472,0.007614283729331666
1429,MASSACHUSETTS,Chelsea,39971.0,112,950.0,0.0028020314728177927,0.023767231242650923
1430,MASSACHUSETTS,Cheshire,3093.0,1,2.0,0.00032331070158422246,0.0006466214031684449
1431,MASSACHUSETTS,Chicopee,55332.0,133,1276.0,0.002403672377647654,0.023060796645702306
1432,MASSACHUSETTS,Cohasset,8738.0,21,48.0,0.0024032959487296866,0.005493247882810712
1433,MASSACHUSETTS,Concord,19025.0,36,94.0,0.0018922470433639948,0.004940867279894875
1434,MASSACHUSETTS,Dalton,6452.0,13,47.0,0.0020148791072535648,0.007284562926224427
1435,MASSACHUSETTS,Danvers,27904.0,54,301.0,0.0019352064220183487,0.010786983944954129
1436,MASSACHUSETTS,Dedham,25699.0,60,315.0,0.0023347211953772522,0.012257286275730573
1437,MASSACHUSETTS,Deerfield,5041.0,12,39.0,0.0023804800634794686,0.0077365602063082725
1438,MASSACHUSETTS,Dennis,13971.0,54,234.0,0.003865149237706678,0.016748980030062272
1439,MASSACHUSETTS,Douglas,9259.0,20,26.0,0.0021600604816934873,0.0028080786262015336
1440,MASSACHUSETTS,Dover,6246.0,16,8.0,0.002561639449247518,0.001280819724623759
1441,MASSACHUSETTS,Dracut,31879.0,46,205.0,0.001442956178048245,0.00643056557608457
1442,MASSACHUSETTS,Dudley,11778.0,18,55.0,0.0015282730514518594,0.004669723212769571
1443,MASSACHUSETTS,Dunstable,3454.0,10,5.0,0.0028951939779965257,0.0014475969889982628
1444,MASSACHUSETTS,Duxbury,16780.0,33,45.0,0.001966626936829559,0.0026817640047675805
1445,MASSACHUSETTS,East Bridgewater,15324.0,30,83.0,0.001957713390759593,0.0054163403811015405
1446,MASSACHUSETTS,Eastham,4937.0,22,83.0,0.004456147457970428,0.01681182904597934
1447,MASSACHUSETTS,Easthampton,15720.0,35,131.0,0.0022264631043256997,0.008333333333333333
1448,MASSACHUSETTS,East Longmeadow,16286.0,29,203.0,0.0017806705145523762,0.012464693601866634
1449,MASSACHUSETTS,Easton,25509.0,36,167.0,0.0014112666117840763,0.0065467090046650205
1450,MASSACHUSETTS,Edgartown,4470.0,21,65.0,0.004697986577181208,0.0145413870246085
1451,MASSACHUSETTS,Erving,1744.0,5,15.0,0.0028669724770642203,0.008600917431192661
1452,MASSACHUSETTS,Essex,3888.0,10,11.0,0.00257201646090535,0.002829218106995885
1453,MASSACHUSETTS,Everett,46959.0,114,712.0,0.0024276496518239317,0.015162162737707362
1454,MASSACHUSETTS,Fairhaven,16257.0,39,178.0,0.0023989665990035063,0.01094912960570831
1455,MASSACHUSETTS,Fall River,90618.0,269,1779.0,0.002968505153501512,0.01963186121962524
1456,MASSACHUSETTS,Falmouth,31320.0,58,405.0,0.001851851851851852,0.01293103448275862
1457,MASSACHUSETTS,Fitchburg,40626.0,92,587.0,0.002264559641608822,0.01444887510461281
1458,MASSACHUSETTS,Foxborough,18774.0,41,167.0,0.0021838713113880898,0.008895280707361244
1459,MASSACHUSETTS,Framingham,75042.0,143,1041.0,0.0019055995309293463,0.013872231550331814
1460,MASSACHUSETTS,Franklin,35425.0,56,89.0,0.0015808045165843331,0.002512350035285815
1461,MASSACHUSETTS,Freetown,9567.0,21,55.0,0.0021950454687989967,0.005748928608759277
1462,MASSACHUSETTS,Gardner,20795.0,45,268.0,0.002163981726376533,0.012887713392642462
1463,MASSACHUSETTS,Georgetown,8920.0,18,30.0,0.002017937219730942,0.0033632286995515697
1464,MASSACHUSETTS,Gill,1473.0,2,11.0,0.0013577732518669382,0.00746775288526816
1465,MASSACHUSETTS,Gloucester,30963.0,69,232.0,0.0022284662338920647,0.0074928140038110005
1466,MASSACHUSETTS,Grafton,19347.0,24,35.0,0.0012405024034734067,0.0018090660050653848
1467,MASSACHUSETTS,Granby,6264.0,14,26.0,0.002234993614303959,0.004150702426564496
1468,MASSACHUSETTS,Great Barrington,6964.0,16,71.0,0.0022975301550832855,0.010195290063182079
1469,MASSACHUSETTS,Groton,11407.0,26,42.0,0.0022793021828701673,0.00368194968002104
1470,MASSACHUSETTS,Groveland,6967.0,12,11.0,0.0017224056265250467,0.001578871824314626
1471,MASSACHUSETTS,Hadley,5335.0,20,118.0,0.0037488284910965324,0.02211808809746954
1472,MASSACHUSETTS,Halifax,8275.0,13,53.0,0.0015709969788519637,0.006404833836858006
1473,MASSACHUSETTS,Hamilton,8165.0,18,27.0,0.002204531537048377,0.0033067973055725657
1474,MASSACHUSETTS,Hanover,15396.0,36,55.0,0.002338269680436477,0.0035723564562223954
1475,MASSACHUSETTS,Hanson,11550.0,24,36.0,0.002077922077922078,0.003116883116883117
1476,MASSACHUSETTS,Hardwick,3077.0,6,12.0,0.0019499512512187196,0.003899902502437439
1477,MASSACHUSETTS,Harwich,12235.0,40,106.0,0.0032693093583980384,0.008663669799754801
1478,MASSACHUSETTS,Haverhill,64944.0,121,921.0,0.0018631436314363143,0.014181448632668145
1479,MASSACHUSETTS,Hingham,26172.0,55,130.0,0.0021014825003820878,0.004967140455448571
1480,MASSACHUSETTS,Hinsdale,1890.0,4,6.0,0.0021164021164021165,0.0031746031746031746
1481,MASSACHUSETTS,Holbrook,11163.0,27,176.0,0.002418704649287826,0.015766371047209533
1482,MASSACHUSETTS,Holden,19605.0,40,40.0,0.00204029584289722,0.00204029584289722
1483,MASSACHUSETTS,Holland,2493.0,2,8.0,0.0008022462896109105,0.003208985158443642
1484,MASSACHUSETTS,Holliston,15138.0,30,67.0,0.0019817677368212444,0.004425947945567446
1485,MASSACHUSETTS,Holyoke,40326.0,131,1666.0,0.0032485245251202698,0.04131329663244557
1486,MASSACHUSETTS,Hopedale,5985.0,17,14.0,0.0028404344193817877,0.0023391812865497076
1487,MASSACHUSETTS,Hopkinton,19192.0,34,41.0,0.00177157148812005,0.0021363067944977073
1488,MASSACHUSETTS,Hudson,19954.0,45,68.0,0.002255186929938859,0.0034078380274631653
1489,MASSACHUSETTS,Hull,11000.0,27,133.0,0.0024545454545454545,0.012090909090909091
1490,MASSACHUSETTS,Ipswich,14297.0,29,70.0,0.002028397565922921,0.004896132055676016
1491,MASSACHUSETTS,Kingston,14843.0,31,88.0,0.002088526578185003,0.005928720609041299
1492,MASSACHUSETTS,Lakeville,12360.0,23,66.0,0.00186084142394822,0.005339805825242718
1493,MASSACHUSETTS,Lancaster,7900.0,10,42.0,0.0012658227848101266,0.005316455696202532
1494,MASSACHUSETTS,Lanesboro,2909.0,6,19.0,0.002062564455139223,0.006531454107940873
1495,MASSACHUSETTS,Lawrence,81021.0,185,1209.0,0.0022833586354155094,0.014922057244418113
1496,MASSACHUSETTS,Leicester,11401.0,19,93.0,0.0016665204806595912,0.008157179194807473
1497,MASSACHUSETTS,Lenox,4920.0,11,63.0,0.0022357723577235773,0.012804878048780487
1498,MASSACHUSETTS,Leominster,41965.0,88,845.0,0.0020969855832241153,0.020135827475277018
1499,MASSACHUSETTS,Leverett,1835.0,3,4.0,0.0016348773841961854,0.0021798365122615805
1500,MASSACHUSETTS,Lincoln,7114.0,19,25.0,0.0026707899915659264,0.003514197357323587
1501,MASSACHUSETTS,Littleton,10480.0,28,43.0,0.0026717557251908397,0.004103053435114504
1502,MASSACHUSETTS,Lowell,112230.0,306,1866.0,0.00272654370489174,0.016626570435712376
1503,MASSACHUSETTS,Ludlow,21312.0,48,195.0,0.0022522522522522522,0.009149774774774775
1504,MASSACHUSETTS,Lunenburg,12098.0,18,111.0,0.001487849231277897,0.009175070259547032
1505,MASSACHUSETTS,Lynn,95727.0,202,1274.0,0.002110167455367869,0.01330867989177557
1506,MASSACHUSETTS,Lynnfield,13300.0,26,81.0,0.001954887218045113,0.006090225563909774
1507,MASSACHUSETTS,Malden,60433.0,109,869.0,0.0018036503234987507,0.014379560835967104
1509,MASSACHUSETTS,Mansfield,24880.0,48,189.0,0.0019292604501607716,0.007596463022508038
1510,MASSACHUSETTS,Marblehead,20791.0,40,119.0,0.0019239093838680197,0.005723630417007359
1511,MASSACHUSETTS,Marion,5464.0,15,24.0,0.002745241581259151,0.004392386530014641
1512,MASSACHUSETTS,Marlborough,39682.0,81,552.0,0.0020412277606975454,0.013910589184012903
1513,MASSACHUSETTS,Mashpee,14411.0,46,125.0,0.0031920061064464643,0.008673929637082784
1514,MASSACHUSETTS,Mattapoisett,6772.0,21,33.0,0.0031010041346721797,0.004873006497341997
1515,MASSACHUSETTS,Maynard,11508.0,27,60.0,0.0023461939520333683,0.005213764337851929
1516,MASSACHUSETTS,Medfield,13266.0,24,39.0,0.0018091361374943465,0.002939846223428313
1517,MASSACHUSETTS,Medway,13670.0,27,34.0,0.0019751280175566936,0.002487198244330651
1518,MASSACHUSETTS,Melrose,28094.0,46,177.0,0.0016373602904534777,0.006300277639353599
1519,MASSACHUSETTS,Mendon,6323.0,14,34.0,0.0022141388581369604,0.00537719436976119
1520,MASSACHUSETTS,Methuen,51691.0,108,512.0,0.002089338569576909,0.009905012477994236
1521,MASSACHUSETTS,Middleboro,27228.0,48,234.0,0.0017628911414720142,0.008594094314676068
1522,MASSACHUSETTS,Middleton,10311.0,18,28.0,0.0017457084666860634,0.0027155465037338763
1523,MASSACHUSETTS,Millbury,14160.0,26,117.0,0.0018361581920903955,0.00826271186440678
1524,MASSACHUSETTS,Milton,27911.0,67,121.0,0.0024004872630862383,0.004335208340797535
1525,MASSACHUSETTS,Montague,8178.0,22,152.0,0.002690144289557349,0.018586451455123502
1526,MASSACHUSETTS,Nahant,3544.0,13,16.0,0.003668171557562077,0.004514672686230248
1527,MASSACHUSETTS,Nantucket,11600.0,51,208.0,0.004396551724137931,0.01793103448275862
1528,MASSACHUSETTS,Natick,36340.0,73,479.0,0.0020088057237204185,0.0131810676940011
1529,MASSACHUSETTS,Needham,32159.0,54,137.0,0.0016791566901955906,0.004260082714014739
1530,MASSACHUSETTS,New Bedford,96346.0,271,2273.0,0.002812778942561186,0.023592053640005814
1531,MASSACHUSETTS,Newburyport,18757.0,39,119.0,0.0020792237564642535,0.006344298128698619
1532,MASSACHUSETTS,Newton,88769.0,171,560.0,0.0019263481620836102,0.006308508600975566
1533,MASSACHUSETTS,Norfolk,12152.0,23,38.0,0.001892692560895326,0.003127057274522712
1534,MASSACHUSETTS,North Adams,12638.0,29,442.0,0.0022946668776705173,0.03497388827346099
1535,MASSACHUSETTS,Northampton,28332.0,67,506.0,0.002364817167866723,0.01785966398418749
1536,MASSACHUSETTS,North Andover,32040.0,57,134.0,0.0017790262172284643,0.004182272159800249
1537,MASSACHUSETTS,North Attleboro,29789.0,54,283.0,0.0018127496726979757,0.009500151062472725
1538,MASSACHUSETTS,Northborough,15223.0,29,37.0,0.0019050121526637325,0.0024305327465020034
1539,MASSACHUSETTS,Northbridge,16850.0,27,89.0,0.001602373887240356,0.005281899109792285
1540,MASSACHUSETTS,Northfield,2951.0,3,9.0,0.0010166045408336157,0.003049813622500847
1541,MASSACHUSETTS,North Reading,16134.0,33,71.0,0.002045370026031982,0.00440064460146275
1542,MASSACHUSETTS,Norton,20232.0,34,51.0,0.0016805061289047055,0.0025207591933570582
1543,MASSACHUSETTS,Norwell,11770.0,26,57.0,0.0022090059473237043,0.004842820730671198
1544,MASSACHUSETTS,Norwood,30200.0,68,291.0,0.002251655629139073,0.009635761589403973
1545,MASSACHUSETTS,Oak Bluffs,4772.0,20,55.0,0.004191114836546521,0.011525565800502935
1546,MASSACHUSETTS,Oakham,1970.0,1,1.0,0.0005076142131979696,0.0005076142131979696
1547,MASSACHUSETTS,Orleans,5841.0,24,77.0,0.004108885464817668,0.013182674199623353
1548,MASSACHUSETTS,Oxford,14078.0,28,109.0,0.0019889188805228015,0.00774257707060662
1549,MASSACHUSETTS,Palmer,12300.0,29,119.0,0.0023577235772357726,0.009674796747967479
1550,MASSACHUSETTS,Paxton,5069.0,16,24.0,0.003156441112645492,0.004734661668968239
1551,MASSACHUSETTS,Peabody,53669.0,106,563.0,0.001975069406920196,0.010490227132981795
1552,MASSACHUSETTS,Pelham,1303.0,2,1.0,0.0015349194167306216,0.0007674597083653108
1553,MASSACHUSETTS,Pembroke,19505.0,32,60.0,0.0016406049730838246,0.0030761343245321714
1554,MASSACHUSETTS,Pepperell,12192.0,17,67.0,0.0013943569553805774,0.005495406824146982
1555,MASSACHUSETTS,Plainville,9495.0,18,60.0,0.0018957345971563982,0.00631911532385466
1556,MASSACHUSETTS,Plymouth,66289.0,131,830.0,0.0019761951454992533,0.012520931074537254
1557,MASSACHUSETTS,Plympton,3157.0,9,23.0,0.0028508077288565093,0.007285397529299968
1558,MASSACHUSETTS,Princeton,3522.0,7,20.0,0.0019875070982396364,0.0056785917092561046
1560,MASSACHUSETTS,Quincy,95737.0,243,1469.0,0.0025382036203348756,0.015344119828279558
1561,MASSACHUSETTS,Randolph,32257.0,65,417.0,0.0020150664971944074,0.012927426605077967
1562,MASSACHUSETTS,Raynham,14799.0,38,143.0,0.0025677410635853775,0.009662815055071288
1563,MASSACHUSETTS,Reading,25900.0,59,130.0,0.002277992277992278,0.005019305019305019
1564,MASSACHUSETTS,Rehoboth,12697.0,35,57.0,0.0027565566669291957,0.004489249428998976
1565,MASSACHUSETTS,Revere,52860.0,116,787.0,0.002194475974271661,0.014888384411653424
1566,MASSACHUSETTS,Rockland,18898.0,36,84.0,0.0019049634881998095,0.004444914805799556
1567,MASSACHUSETTS,Rockport,7407.0,22,17.0,0.0029701633589847443,0.002295126231942757
1568,MASSACHUSETTS,Rowley,6501.0,16,29.0,0.002461159821565913,0.0044608521765882175
1569,MASSACHUSETTS,Salem,44120.0,95,690.0,0.0021532184950135993,0.015639165911151404
1570,MASSACHUSETTS,Salisbury,9811.0,25,111.0,0.0025481602283151565,0.011313831413719295
1571,MASSACHUSETTS,Sandwich,20266.0,44,109.0,0.0021711240501332283,0.005378466396920951
1572,MASSACHUSETTS,Saugus,28967.0,84,350.0,0.0028998515552180067,0.012082714813408361
1573,MASSACHUSETTS,Scituate,20046.0,38,49.0,0.0018956400279357478,0.0024443779307592537
1574,MASSACHUSETTS,Seekonk,16212.0,40,293.0,0.002467308166790032,0.018073032321736984
