"","Date Rptd","DATE OCC","AREA NAME","Crm Cd Desc","Vict Age","Vict Sex","Vict Descent","Vict Birth Year"
"500000","2022-08-15","2022-08-15","Newton","BRANDISH WEAPON","35","F","B","1988"
"500001","2022-08-26","2022-08-26","West Valley","TRESPASSING","27","F","H","1996"
"500002","2022-06-29","2022-06-29","Southeast","BATTERY - SIMPLE ASSAULT","36","F","B","1987"
"500003","2022-08-12","2022-08-12","Wilshire","BATTERY - SIMPLE ASSAULT","45","M","H","1978"
"500004","2022-10-22","2022-10-22","Olympic","THEFT PLAIN - PETTY ($950 & UNDER)","22","F","A","2001"
"500005","2022-03-23","2022-03-23","Wilshire","BURGLARY","32","F","O","1991"
"500006","2022-07-30","2022-07-30","Van Nuys","RAPE, FORCIBLE","21","F","H","2002"
"500007","2022-11-13","2022-11-13","Southeast","VIOLATION OF RESTRAINING ORDER","56","F","B","1967"
"500008","2022-01-11","2022-01-11","Wilshire","BURGLARY","65","M","A","1958"
"500009","2022-02-07","2022-02-07","Southeast","BATTERY - SIMPLE ASSAULT","30","M","H","1993"
"500010","2022-04-17","2022-04-17","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","63","M","H","1960"
"500011","2022-01-26","2022-01-26","Northeast","VIOLATION OF COURT ORDER","51","M","H","1972"
"500012","2022-05-06","2022-05-06","77th Street","BURGLARY","35","M","H","1988"
"500013","2022-12-26","2022-12-26","Harbor","BATTERY - SIMPLE ASSAULT","18","F","H","2005"
"500014","2022-03-31","2022-03-31","Southeast","THEFT OF IDENTITY","44","F","B","1979"
"500015","2022-07-15","2022-07-15","Southeast","THEFT, PERSON","33","F","H","1990"
"500016","2022-02-22","2022-02-22","77th Street","THEFT OF IDENTITY","37","M","W","1986"
"500017","2022-12-02","2022-12-02","Central","BATTERY - SIMPLE ASSAULT","28","M","H","1995"
"500018","2022-12-05","2022-12-05","Olympic","BURGLARY","28","M","B","1995"
"500019","2022-11-04","2022-11-04","West Valley","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","27","F","B","1996"
"500020","2022-02-21","2022-02-21","Southeast","VIOLATION OF RESTRAINING ORDER","39","F","H","1984"
"500021","2022-01-26","2022-01-26","Southwest","BURGLARY","28","M","H","1995"
"500022","2022-01-15","2022-01-15","Van Nuys","BURGLARY","31","M","K","1992"
"500023","2022-03-28","2022-03-28","Mission","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","63","M","H","1960"
"500024","2022-12-02","2022-12-02","West Valley","INTIMATE PARTNER - SIMPLE ASSAULT","36","F","H","1987"
"500025","2022-10-14","2022-10-14","Pacific","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","71","F","W","1952"
"500026","2022-02-12","2022-02-12","Central","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","30","F","W","1993"
"500027","2022-05-21","2022-05-21","Wilshire","INTIMATE PARTNER - AGGRAVATED ASSAULT","31","F","W","1992"
"500028","2022-11-04","2022-11-04","West Valley","THEFT OF IDENTITY","40","F","H","1983"
"500029","2022-08-01","2022-08-01","Southeast","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","72","F","B","1951"
"500030","2022-10-21","2022-10-21","N Hollywood","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","35","F","W","1988"
"500031","2022-08-29","2022-08-29","Southeast","INTIMATE PARTNER - SIMPLE ASSAULT","23","F","O","2000"
"500032","2022-12-09","2022-12-09","Southwest","SEXUAL PENETRATION W/FOREIGN OBJECT","53","F","B","1970"
"500033","2022-05-12","2022-05-12","Rampart","BATTERY - SIMPLE ASSAULT","26","M","H","1997"
"500034","2022-09-08","2022-09-08","Wilshire","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","22","X","X","2001"
"500035","2022-10-11","2022-10-11","Central","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","41","M","W","1982"
"500036","2022-11-30","2022-11-30","Hollenbeck","THEFT PLAIN - PETTY ($950 & UNDER)","18","M","H","2005"
"500037","2022-02-21","2022-02-21","Foothill","INTIMATE PARTNER - SIMPLE ASSAULT","22","F","H","2001"
"500038","2022-06-13","2022-06-13","Olympic","BRANDISH WEAPON","46","M","O","1977"
"500039","2022-03-03","2022-03-03","Olympic","BRANDISH WEAPON","31","F","W","1992"
"500040","2022-03-03","2022-03-03","Van Nuys","ROBBERY","28","M","B","1995"
"500041","2022-03-28","2022-03-28","Hollywood","BURGLARY","52","F","W","1971"
"500042","2022-07-23","2022-07-23","Northeast","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","37","M","H","1986"
"500043","2022-06-28","2022-06-28","West Valley","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","58","F","H","1965"
"500044","2022-12-25","2022-12-25","Olympic","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","25","M","B","1998"
"500045","2022-05-11","2022-05-11","Van Nuys","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","39","M","W","1984"
"500046","2022-04-05","2022-04-05","Van Nuys","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","41","F","W","1982"
"500047","2022-10-03","2022-10-03","Northeast","BRANDISH WEAPON","66","M","H","1957"
"500048","2022-08-02","2022-08-02","Olympic","BRANDISH WEAPON","33","M","H","1990"
"500049","2022-01-13","2022-01-13","Foothill","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","40","M","O","1983"
"500050","2022-07-05","2022-07-05","Pacific","BATTERY - SIMPLE ASSAULT","28","M","H","1995"
"500051","2022-05-28","2022-05-28","Van Nuys","BURGLARY FROM VEHICLE","40","F","W","1983"
"500052","2022-03-16","2022-03-16","West Valley","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","31","M","H","1992"
"500053","2022-10-23","2022-10-23","Harbor","BATTERY - SIMPLE ASSAULT","16","F","H","2007"
"500054","2022-12-06","2022-12-06","Wilshire","BATTERY - SIMPLE ASSAULT","30","M","H","1993"
"500055","2022-02-17","2022-02-17","Pacific","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","32","F","W","1991"
"500056","2022-04-18","2022-04-18","Northeast","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","33","M","A","1990"
"500057","2022-07-21","2022-07-21","Olympic","ROBBERY","26","F","H","1997"
"500058","2022-02-04","2022-02-04","Hollenbeck","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","47","F","H","1976"
"500059","2022-08-10","2022-08-10","Hollywood","TRESPASSING","25","M","W","1998"
"500060","2022-03-23","2022-03-23","Pacific","THEFT PLAIN - PETTY ($950 & UNDER)","30","F","W","1993"
"500061","2022-02-25","2022-02-25","Newton","BATTERY - SIMPLE ASSAULT","17","F","H","2006"
"500062","2022-11-28","2022-11-28","Mission","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","41","F","B","1982"
"500063","2022-08-03","2022-08-03","West LA","THEFT OF IDENTITY","64","M","B","1959"
"500064","2022-10-07","2022-10-07","Northeast","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","51","F","C","1972"
"500065","2022-11-07","2022-11-07","Van Nuys","BURGLARY FROM VEHICLE","29","M","H","1994"
"500066","2022-11-15","2022-11-15","Rampart","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","47","M","H","1976"
"500067","2022-03-27","2022-03-27","Northeast","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","31","F","W","1992"
"500068","2022-10-31","2022-10-31","Van Nuys","TRESPASSING","44","M","W","1979"
"500069","2022-07-01","2022-07-01","Wilshire","BUNCO, PETTY THEFT","71","M","W","1952"
"500070","2022-12-10","2022-12-10","N Hollywood","BATTERY - SIMPLE ASSAULT","21","M","O","2002"
"500071","2022-05-25","2022-05-25","Hollenbeck","BATTERY - SIMPLE ASSAULT","40","F","H","1983"
"500072","2022-10-28","2022-10-28","Olympic","THEFT OF IDENTITY","64","F","W","1959"
"500073","2022-04-13","2022-04-13","Pacific","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","23","M","W","2000"
"500074","2022-05-12","2022-05-12","West LA","THEFT PLAIN - PETTY ($950 & UNDER)","71","M","O","1952"
"500075","2022-10-02","2022-10-02","Devonshire","BURGLARY FROM VEHICLE","30","M","O","1993"
"500076","2022-05-23","2022-05-23","West Valley","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","35","F","W","1988"
"500077","2022-06-18","2022-06-18","Topanga","BURGLARY FROM VEHICLE","48","M","O","1975"
"500078","2022-06-08","2022-06-08","Central","BATTERY - SIMPLE ASSAULT","20","F","B","2003"
"500079","2022-06-12","2022-06-12","West Valley","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","75","M","W","1948"
"500080","2023-01-13","2023-01-13","Northeast","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","34","F","H","1989"
"500081","2022-10-02","2022-10-02","Southwest","THEFT OF IDENTITY","35","F","B","1988"
"500082","2022-08-13","2022-08-13","Hollywood","BURGLARY","44","M","W","1979"
"500083","2022-08-26","2022-08-26","Hollenbeck","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","58","M","H","1965"
"500084","2022-04-18","2022-04-18","Hollywood","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","26","M","B","1997"
"500085","2022-04-25","2022-04-25","Pacific","BIKE - STOLEN","42","F","W","1981"
"500086","2022-07-12","2022-07-12","Hollywood","PICKPOCKET","33","F","H","1990"
"500087","2023-01-10","2023-01-10","Harbor","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","41","M","H","1982"
"500088","2022-04-02","2022-04-02","Mission","THEFT PLAIN - PETTY ($950 & UNDER)","33","F","O","1990"
"500089","2022-08-14","2022-08-14","Mission","OTHER ASSAULT","20","M","W","2003"
"500090","2022-06-10","2022-06-10","Central","BUNCO, GRAND THEFT","61","F","H","1962"
"500091","2022-11-19","2022-11-19","Mission","BATTERY - SIMPLE ASSAULT","40","F","H","1983"
"500092","2022-09-20","2022-09-20","Topanga","DOCUMENT FORGERY / STOLEN FELONY","35","M","X","1988"
"500093","2022-12-03","2022-12-03","West Valley","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","33","F","H","1990"
"500094","2022-12-27","2022-12-27","77th Street","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","47","M","H","1976"
"500095","2022-09-05","2022-09-05","West Valley","BURGLARY FROM VEHICLE","64","M","W","1959"
"500096","2022-03-22","2022-03-22","N Hollywood","BATTERY - SIMPLE ASSAULT","52","M","B","1971"
"500097","2022-06-29","2022-06-29","Northeast","BATTERY - SIMPLE ASSAULT","63","M","W","1960"
"500098","2022-07-31","2022-07-31","Rampart","BURGLARY FROM VEHICLE","32","F","W","1991"
"500099","2022-11-30","2022-11-30","Hollywood","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","26","M","H","1997"
"500100","2022-09-02","2022-09-02","West Valley","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","38","F","H","1985"
"500101","2022-11-15","2022-11-15","Olympic","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","42","F","O","1981"
"500102","2022-05-12","2022-05-12","Hollenbeck","INTIMATE PARTNER - SIMPLE ASSAULT","36","F","W","1987"
"500103","2022-03-11","2022-03-11","Olympic","PANDERING","29","F","B","1994"
"500104","2022-12-06","2022-12-06","77th Street","BRANDISH WEAPON","48","M","H","1975"
"500105","2022-06-06","2022-06-06","Newton","INTIMATE PARTNER - SIMPLE ASSAULT","44","F","H","1979"
"500106","2022-05-03","2022-05-03","Southwest","BUNCO, GRAND THEFT","24","M","X","1999"
"500107","2022-11-09","2022-11-09","Northeast","SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ","14","F","H","2009"
"500108","2022-06-27","2022-06-27","Rampart","THEFT OF IDENTITY","46","F","B","1977"
"500109","2022-02-12","2022-02-12","Central","BURGLARY FROM VEHICLE","40","F","W","1983"
"500110","2022-02-01","2022-02-01","Newton","CRIMINAL THREATS - NO WEAPON DISPLAYED","32","F","B","1991"
"500111","2022-06-09","2022-06-09","Hollywood","CRIMINAL THREATS - NO WEAPON DISPLAYED","40","M","O","1983"
"500112","2022-05-11","2022-05-11","Wilshire","THEFT OF IDENTITY","33","F","B","1990"
"500113","2022-09-09","2022-09-09","Newton","THEFT OF IDENTITY","34","F","H","1989"
"500114","2022-09-21","2022-09-21","Southeast","INTIMATE PARTNER - SIMPLE ASSAULT","33","F","H","1990"
"500115","2022-02-18","2022-02-18","Foothill","BATTERY - SIMPLE ASSAULT","66","M","B","1957"
"500116","2022-10-16","2022-10-16","Van Nuys","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","31","M","W","1992"
"500117","2022-03-24","2022-03-24","Wilshire","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","36","F","W","1987"
"500118","2022-06-01","2022-06-01","Hollywood","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","63","F","W","1960"
"500119","2022-02-09","2022-02-09","Topanga","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","31","M","X","1992"
"500120","2022-12-12","2022-12-12","West LA","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","38","F","C","1985"
"500121","2023-01-01","2023-01-01","Van Nuys","THEFT PLAIN - PETTY ($950 & UNDER)","33","F","H","1990"
"500122","2022-08-02","2022-08-02","Southeast","INTIMATE PARTNER - SIMPLE ASSAULT","36","F","H","1987"
"500123","2022-05-26","2022-05-26","Topanga","BATTERY - SIMPLE ASSAULT","39","F","W","1984"
"500124","2022-10-03","2022-10-03","Wilshire","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","68","M","W","1955"
"500125","2022-12-15","2022-12-15","Newton","VIOLATION OF RESTRAINING ORDER","54","F","H","1969"
"500126","2023-02-14","2023-02-14","Topanga","VIOLATION OF RESTRAINING ORDER","44","M","W","1979"
"500127","2022-02-26","2022-02-26","Northeast","BUNCO, PETTY THEFT","44","M","H","1979"
"500128","2022-02-20","2022-02-20","Harbor","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","54","M","H","1969"
"500129","2022-03-18","2022-03-18","Van Nuys","ROBBERY","43","M","A","1980"
"500130","2022-04-12","2022-04-12","Devonshire","TRESPASSING","62","F","A","1961"
"500131","2023-02-26","2023-02-26","N Hollywood","BURGLARY FROM VEHICLE","56","M","O","1967"
"500132","2022-12-10","2022-12-10","77th Street","THEFT OF IDENTITY","27","F","O","1996"
"500133","2022-04-21","2022-04-21","77th Street","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","19","M","B","2004"
"500134","2022-09-10","2022-09-10","Mission","VIOLATION OF COURT ORDER","27","M","H","1996"
"500135","2022-12-06","2022-12-06","West Valley","THEFT OF IDENTITY","38","F","O","1985"
"500136","2022-12-17","2022-12-17","Harbor","THEFT PLAIN - PETTY ($950 & UNDER)","23","F","B","2000"
"500137","2022-04-30","2022-04-30","West Valley","PROWLER","42","M","O","1981"
"500138","2022-02-25","2022-02-25","Hollenbeck","THEFT OF IDENTITY","44","F","H","1979"
"500139","2022-08-26","2022-08-26","Northeast","BATTERY - SIMPLE ASSAULT","32","M","H","1991"
"500140","2023-01-28","2023-01-28","Van Nuys","BURGLARY FROM VEHICLE","35","M","A","1988"
"500141","2022-04-13","2022-04-13","Topanga","THEFT OF IDENTITY","32","F","W","1991"
"500142","2022-04-04","2022-04-04","Van Nuys","INTIMATE PARTNER - SIMPLE ASSAULT","39","M","H","1984"
"500143","2022-06-10","2022-06-10","Olympic","VIOLATION OF COURT ORDER","37","F","H","1986"
"500144","2022-05-27","2022-05-27","Topanga","BUNCO, GRAND THEFT","67","M","H","1956"
"500145","2022-07-24","2022-07-24","West Valley","THEFT OF IDENTITY","26","F","W","1997"
"500146","2022-07-11","2022-07-11","77th Street","CRIMINAL THREATS - NO WEAPON DISPLAYED","32","M","H","1991"
"500147","2022-06-05","2022-06-05","Northeast","ROBBERY","57","M","H","1966"
"500148","2022-12-05","2022-12-05","Southeast","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","40","F","B","1983"
"500149","2022-07-11","2022-07-11","Rampart","BATTERY - SIMPLE ASSAULT","75","M","O","1948"
"500150","2022-07-20","2022-07-20","Central","BATTERY - SIMPLE ASSAULT","22","F","B","2001"
"500151","2022-11-15","2022-11-15","West LA","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","51","M","W","1972"
"500152","2022-04-24","2022-04-24","Southeast","THEFT PLAIN - PETTY ($950 & UNDER)","46","F","B","1977"
"500153","2022-07-14","2022-07-14","Mission","BATTERY - SIMPLE ASSAULT","53","F","H","1970"
"500154","2022-01-10","2022-01-10","Hollywood","THEFT, PERSON","26","M","O","1997"
"500155","2022-04-04","2022-04-04","Central","BATTERY - SIMPLE ASSAULT","30","M","H","1993"
"500156","2022-09-09","2022-09-09","Topanga","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","39","M","W","1984"
"500157","2022-09-11","2022-09-11","Rampart","BATTERY - SIMPLE ASSAULT","34","M","H","1989"
"500158","2022-11-13","2022-11-13","Mission","OTHER MISCELLANEOUS CRIME","32","F","H","1991"
"500159","2022-06-02","2022-06-02","Devonshire","ATTEMPTED ROBBERY","38","M","H","1985"
"500160","2022-12-17","2022-12-17","77th Street","THEFT OF IDENTITY","46","F","B","1977"
"500161","2022-12-16","2022-12-16","77th Street","BATTERY - SIMPLE ASSAULT","16","F","H","2007"
"500162","2022-11-01","2022-11-01","Central","THEFT PLAIN - PETTY ($950 & UNDER)","31","F","H","1992"
"500163","2022-10-18","2022-10-18","Van Nuys","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","27","M","H","1996"
"500164","2022-11-25","2022-11-25","Newton","BURGLARY","50","M","W","1973"
"500165","2022-10-13","2022-10-13","Pacific","THEFT PLAIN - PETTY ($950 & UNDER)","32","F","H","1991"
"500166","2022-12-14","2022-12-14","Pacific","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","27","M","B","1996"
"500167","2022-08-18","2022-08-18","N Hollywood","BURGLARY","50","M","H","1973"
"500168","2022-09-02","2022-09-02","Harbor","OTHER MISCELLANEOUS CRIME","59","M","W","1964"
"500169","2022-05-16","2022-05-16","Central","BURGLARY FROM VEHICLE","25","M","H","1998"
"500170","2022-02-25","2022-02-25","Northeast","BIKE - STOLEN","30","F","W","1993"
"500171","2022-05-17","2022-05-17","Newton","BURGLARY FROM VEHICLE","28","F","H","1995"
"500172","2022-12-09","2022-12-09","N Hollywood","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","45","M","H","1978"
"500173","2022-06-17","2022-06-17","Van Nuys","BURGLARY, ATTEMPTED","43","M","W","1980"
"500174","2022-04-06","2022-04-06","Topanga","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","51","F","O","1972"
"500175","2022-08-31","2022-08-31","Van Nuys","FALSE IMPRISONMENT","29","F","B","1994"
"500176","2022-02-14","2022-02-14","Mission","THEFT OF IDENTITY","45","F","H","1978"
"500177","2022-08-29","2022-08-29","Southwest","BURGLARY","22","X","X","2001"
"500178","2022-05-07","2022-05-07","Devonshire","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","46","F","H","1977"
"500179","2022-01-19","2022-01-19","Devonshire","THEFT OF IDENTITY","28","F","H","1995"
"500180","2022-01-08","2022-01-08","Olympic","ROBBERY","57","F","H","1966"
"500181","2022-10-28","2022-10-28","Southwest","BURGLARY FROM VEHICLE","72","F","B","1951"
"500182","2022-01-17","2022-01-17","West Valley","CRIMINAL THREATS - NO WEAPON DISPLAYED","47","M","O","1976"
"500183","2022-07-18","2022-07-18","Central","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","32","M","B","1991"
"500184","2022-09-23","2022-09-23","Hollenbeck","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","33","F","H","1990"
"500185","2022-08-21","2022-08-21","Northeast","BURGLARY, ATTEMPTED","55","F","W","1968"
"500186","2022-08-12","2022-08-12","Hollywood","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","42","M","B","1981"
"500187","2022-10-25","2022-10-25","Van Nuys","ROBBERY","25","M","H","1998"
"500188","2022-06-13","2022-06-13","Pacific","BUNCO, GRAND THEFT","41","M","O","1982"
"500189","2022-07-21","2022-07-21","West Valley","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","13","F","H","2010"
"500190","2022-10-13","2022-10-13","Olympic","BUNCO, GRAND THEFT","68","F","H","1955"
"500191","2022-11-03","2022-11-03","Pacific","BATTERY - SIMPLE ASSAULT","11","M","W","2012"
"500192","2022-10-20","2022-10-20","Wilshire","INTIMATE PARTNER - AGGRAVATED ASSAULT","29","F","H","1994"
"500193","2022-09-08","2022-09-08","Southeast","VEHICLE - ATTEMPT STOLEN","35","F","H","1988"
"500194","2022-04-01","2022-04-01","Central","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","30","M","B","1993"
"500195","2022-03-14","2022-03-14","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","31","M","H","1992"
"500196","2022-12-07","2022-12-07","Rampart","THEFT OF IDENTITY","27","F","H","1996"
"500197","2023-03-01","2023-03-01","Topanga","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","70","M","W","1953"
"500198","2022-04-18","2022-04-18","Devonshire","THEFT OF IDENTITY","47","F","O","1976"
"500199","2022-08-26","2022-08-26","Southwest","ROBBERY","56","M","H","1967"
"500200","2022-11-25","2022-11-25","Southwest","THEFT OF IDENTITY","51","F","B","1972"
"500201","2022-10-25","2022-10-25","Newton","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","19","M","H","2004"
"500202","2022-07-26","2022-07-26","Olympic","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","36","F","H","1987"
"500203","2022-01-09","2022-01-09","Olympic","THEFT PLAIN - PETTY ($950 & UNDER)","24","F","B","1999"
"500204","2022-03-26","2022-03-26","Southeast","THEFT OF IDENTITY","65","F","H","1958"
"500205","2022-11-02","2022-11-02","Van Nuys","THEFT OF IDENTITY","52","F","W","1971"
"500206","2022-11-26","2022-11-26","Southwest","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","65","M","B","1958"
"500207","2022-05-11","2022-05-11","Olympic","THEFT OF IDENTITY","31","F","A","1992"
"500208","2022-05-12","2022-05-12","Wilshire","BATTERY - SIMPLE ASSAULT","46","F","H","1977"
"500209","2022-10-24","2022-10-24","Van Nuys","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","39","F","W","1984"
"500210","2022-09-03","2022-09-03","West LA","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","49","F","H","1974"
"500211","2022-09-19","2022-09-19","Harbor","THEFT OF IDENTITY","48","M","H","1975"
"500212","2022-03-02","2022-03-02","Pacific","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","36","M","W","1987"
"500213","2022-12-05","2022-12-05","N Hollywood","BURGLARY FROM VEHICLE","33","M","O","1990"
"500214","2022-11-24","2022-11-24","Southwest","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","36","F","H","1987"
"500215","2023-01-13","2023-01-13","Harbor","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","28","M","W","1995"
"500216","2022-07-05","2022-07-05","Southwest","ROBBERY","13","M","H","2010"
"500217","2022-11-23","2022-11-23","Newton","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","32","F","B","1991"
"500218","2022-05-09","2022-05-09","Southeast","THEFT OF IDENTITY","27","F","B","1996"
"500219","2023-01-16","2023-01-16","Central","BATTERY - SIMPLE ASSAULT","29","M","W","1994"
"500220","2022-12-07","2022-12-07","Southeast","CRIMINAL HOMICIDE","38","F","H","1985"
"500221","2022-09-19","2022-09-19","Hollywood","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","32","M","H","1991"
"500222","2022-09-02","2022-09-02","Southwest","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","44","M","H","1979"
"500223","2022-11-01","2022-11-01","Rampart","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","33","M","H","1990"
"500224","2022-09-19","2022-09-19","Southwest","THEFT OF IDENTITY","30","F","H","1993"
"500225","2022-03-27","2022-03-27","Newton","THEFT PLAIN - PETTY ($950 & UNDER)","36","M","B","1987"
"500226","2022-10-11","2022-10-11","Topanga","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","58","M","B","1965"
"500227","2022-10-23","2022-10-23","Northeast","THEFT PLAIN - PETTY ($950 & UNDER)","27","F","H","1996"
"500228","2022-03-08","2022-03-08","77th Street","THEFT OF IDENTITY","46","F","B","1977"
"500229","2022-06-07","2022-06-07","Foothill","ROBBERY","28","M","H","1995"
"500230","2022-03-26","2022-03-26","Rampart","ROBBERY","23","M","W","2000"
"500231","2022-08-28","2022-08-28","Southeast","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","58","F","B","1965"
"500232","2022-06-22","2022-06-22","Devonshire","VIOLATION OF COURT ORDER","30","F","O","1993"
"500233","2022-01-31","2022-01-31","Hollywood","PICKPOCKET","67","M","W","1956"
"500234","2022-12-11","2022-12-11","Southwest","BATTERY - SIMPLE ASSAULT","42","M","H","1981"
"500235","2022-06-03","2022-06-03","77th Street","BURGLARY","50","M","B","1973"
"500236","2022-05-23","2022-05-23","Devonshire","BATTERY - SIMPLE ASSAULT","35","M","H","1988"
"500237","2022-06-20","2022-06-20","Olympic","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","29","M","H","1994"
"500238","2022-01-20","2022-01-20","Topanga","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","19","F","H","2004"
"500239","2022-07-22","2022-07-22","Rampart","ROBBERY","42","M","W","1981"
"500240","2022-08-18","2022-08-18","Southwest","ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER","22","X","X","2001"
"500241","2022-09-20","2022-09-20","West LA","THEFT OF IDENTITY","78","M","O","1945"
"500242","2022-01-15","2022-01-15","77th Street","BURGLARY","40","M","H","1983"
"500243","2022-08-28","2022-08-28","Central","THEFT OF IDENTITY","43","M","W","1980"
"500244","2022-01-07","2022-01-07","West LA","OTHER ASSAULT","54","F","B","1969"
"500245","2022-06-04","2022-06-04","Southeast","THEFT OF IDENTITY","23","F","B","2000"
"500246","2022-10-27","2022-10-27","N Hollywood","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","39","M","W","1984"
"500247","2022-04-25","2022-04-25","Southwest","CRIMINAL THREATS - NO WEAPON DISPLAYED","31","F","B","1992"
"500248","2022-01-04","2022-01-04","Wilshire","ROBBERY","49","M","O","1974"
"500249","2022-02-13","2022-02-13","Rampart","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","21","M","H","2002"
"500250","2022-03-02","2022-03-02","Hollenbeck","THEFT PLAIN - PETTY ($950 & UNDER)","23","F","X","2000"
"500251","2022-07-12","2022-07-12","Central","CRIMINAL THREATS - NO WEAPON DISPLAYED","23","F","H","2000"
