"","Date Rptd","DATE OCC","AREA NAME","Crm Cd Desc","Vict Age","Vict Sex","Vict Descent","Vict Birth Year"
"508312","2022-08-19","2022-08-19","Newton","BATTERY - SIMPLE ASSAULT","23","M","H","2000"
"508313","2022-08-12","2022-08-12","Northeast","BATTERY - SIMPLE ASSAULT","38","M","H","1985"
"508314","2022-07-20","2022-07-20","Newton","BATTERY - SIMPLE ASSAULT","47","F","H","1976"
"508315","2022-03-13","2022-03-13","Topanga","BRANDISH WEAPON","56","M","W","1967"
"508316","2022-04-23","2022-04-23","Mission","BUNCO, PETTY THEFT","22","M","H","2001"
"508317","2022-03-15","2022-03-15","Northeast","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","41","M","F","1982"
"508318","2022-04-12","2022-04-12","Wilshire","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","22","X","X","2001"
"508319","2022-12-15","2022-12-15","West LA","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","40","F","H","1983"
"508320","2022-04-04","2022-04-04","Southwest","THEFT, PERSON","31","F","H","1992"
"508321","2022-04-25","2022-04-25","Harbor","THEFT OF IDENTITY","22","M","W","2001"
"508322","2022-04-22","2022-04-22","Northeast","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","31","M","W","1992"
"508323","2022-09-27","2022-09-27","N Hollywood","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","65","M","H","1958"
"508324","2022-05-10","2022-05-10","Foothill","BURGLARY","69","M","W","1954"
"508325","2022-10-30","2022-10-30","Rampart","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","35","M","H","1988"
"508326","2022-08-25","2022-08-25","Topanga","THEFT PLAIN - PETTY ($950 & UNDER)","23","F","F","2000"
"508327","2022-07-09","2022-07-09","Southwest","THEFT PLAIN - PETTY ($950 & UNDER)","22","X","X","2001"
"508328","2022-06-16","2022-06-16","77th Street","INTIMATE PARTNER - SIMPLE ASSAULT","27","F","B","1996"
"508329","2022-03-02","2022-03-02","Southwest","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","49","M","B","1974"
"508330","2022-10-28","2022-10-28","Central","THEFT OF IDENTITY","46","M","W","1977"
"508331","2022-06-08","2022-06-08","West LA","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","46","F","W","1977"
"508332","2022-08-16","2022-08-16","Foothill","VIOLATION OF TEMPORARY RESTRAINING ORDER","35","F","H","1988"
"508333","2022-10-31","2022-10-31","Hollywood","VIOLATION OF RESTRAINING ORDER","64","M","B","1959"
"508334","2022-01-10","2022-01-10","Wilshire","BURGLARY","26","M","B","1997"
"508335","2022-08-07","2022-08-07","Newton","BATTERY - SIMPLE ASSAULT","53","F","W","1970"
"508336","2022-04-19","2022-04-19","Southeast","CRIMINAL THREATS - NO WEAPON DISPLAYED","66","F","B","1957"
"508337","2022-11-13","2022-11-13","Northeast","ATTEMPTED ROBBERY","43","M","H","1980"
"508338","2022-09-20","2022-09-20","Foothill","THEFT OF IDENTITY","33","F","H","1990"
"508339","2022-10-24","2022-10-24","N Hollywood","INTIMATE PARTNER - SIMPLE ASSAULT","31","M","B","1992"
"508340","2022-03-30","2022-03-30","Wilshire","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","27","F","W","1996"
"508341","2022-11-02","2022-11-02","Pacific","RESISTING ARREST","23","M","O","2000"
"508342","2022-05-27","2022-05-27","Mission","INTIMATE PARTNER - SIMPLE ASSAULT","22","M","H","2001"
"508343","2022-05-12","2022-05-12","Southeast","INTIMATE PARTNER - SIMPLE ASSAULT","24","F","H","1999"
"508344","2022-04-01","2022-04-01","77th Street","ROBBERY","45","M","H","1978"
"508345","2022-11-07","2022-11-07","Central","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","23","F","C","2000"
"508346","2022-07-21","2022-07-21","Devonshire","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","55","M","O","1968"
"508347","2022-06-02","2022-06-02","Rampart","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","24","F","H","1999"
"508348","2022-11-19","2022-11-19","Newton","EXTORTION","51","M","O","1972"
"508349","2022-03-10","2022-03-10","Northeast","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","20","M","W","2003"
"508350","2022-06-01","2022-06-01","Foothill","BURGLARY","45","M","B","1978"
"508351","2022-10-09","2022-10-09","Southeast","THEFT OF IDENTITY","52","F","B","1971"
"508352","2022-03-31","2022-03-31","West LA","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","25","F","W","1998"
"508353","2022-03-02","2022-03-02","West LA","OTHER MISCELLANEOUS CRIME","30","M","H","1993"
"508354","2022-09-06","2022-09-06","Southeast","THEFT OF IDENTITY","38","F","H","1985"
"508355","2022-01-19","2022-01-19","Hollenbeck","THEFT OF IDENTITY","39","F","H","1984"
"508356","2022-03-31","2022-03-31","Rampart","BATTERY - SIMPLE ASSAULT","40","M","H","1983"
"508357","2022-08-03","2022-08-03","Southeast","OTHER MISCELLANEOUS CRIME","32","F","H","1991"
"508358","2022-04-07","2022-04-07","Foothill","BATTERY - SIMPLE ASSAULT","56","M","W","1967"
"508359","2022-06-02","2022-06-02","West Valley","BURGLARY FROM VEHICLE","26","M","H","1997"
"508360","2022-05-12","2022-05-12","Harbor","THEFT PLAIN - PETTY ($950 & UNDER)","42","M","H","1981"
"508361","2022-02-22","2022-02-22","West LA","UNAUTHORIZED COMPUTER ACCESS","37","M","W","1986"
"508362","2022-07-20","2022-07-20","Hollenbeck","ROBBERY","25","F","H","1998"
"508363","2022-12-05","2022-12-05","Southwest","PICKPOCKET","26","F","H","1997"
"508364","2022-10-19","2022-10-19","Central","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","49","M","A","1974"
"508365","2022-09-09","2022-09-09","Harbor","INTIMATE PARTNER - AGGRAVATED ASSAULT","20","F","B","2003"
"508366","2022-02-16","2022-02-16","Southwest","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","25","M","K","1998"
"508367","2022-06-08","2022-06-08","Hollywood","BUNCO, GRAND THEFT","25","F","H","1998"
"508368","2022-02-14","2022-02-14","Southwest","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","22","X","X","2001"
"508369","2022-05-20","2022-05-20","Northeast","THEFT OF IDENTITY","80","F","H","1943"
"508370","2022-10-14","2022-10-14","Topanga","INTIMATE PARTNER - AGGRAVATED ASSAULT","38","M","W","1985"
"508371","2022-03-26","2022-03-26","Southeast","THEFT OF IDENTITY","46","F","B","1977"
"508372","2022-06-29","2022-06-29","Southwest","BUNCO, PETTY THEFT","67","M","B","1956"
"508373","2022-07-06","2022-07-06","West Valley","BURGLARY","48","M","O","1975"
"508374","2022-06-06","2022-06-06","Rampart","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","28","M","H","1995"
"508375","2022-07-17","2022-07-17","West Valley","DISCHARGE FIREARMS/SHOTS FIRED","26","F","H","1997"
"508376","2022-01-08","2022-01-08","Rampart","BATTERY - SIMPLE ASSAULT","42","F","H","1981"
"508377","2022-10-29","2022-10-29","Central","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","50","M","W","1973"
"508378","2022-09-11","2022-09-11","77th Street","BATTERY - SIMPLE ASSAULT","57","F","W","1966"
"508379","2022-09-27","2022-09-27","Central","BURGLARY FROM VEHICLE","35","M","W","1988"
"508380","2022-10-11","2022-10-11","Hollywood","PICKPOCKET","21","F","W","2002"
"508381","2022-07-10","2022-07-10","77th Street","BATTERY - SIMPLE ASSAULT","64","M","H","1959"
"508382","2022-01-12","2022-01-12","77th Street","CONTEMPT OF COURT","18","F","B","2005"
"508383","2022-08-05","2022-08-05","Van Nuys","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","23","F","H","2000"
"508384","2022-09-15","2022-09-15","Central","BURGLARY FROM VEHICLE","28","M","C","1995"
"508385","2022-01-14","2022-01-14","Mission","BATTERY - SIMPLE ASSAULT","32","M","H","1991"
"508386","2022-05-27","2022-05-27","Pacific","BURGLARY","42","M","W","1981"
"508387","2022-08-29","2022-08-29","Southwest","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","39","M","W","1984"
"508388","2022-02-22","2022-02-22","West LA","ARSON","19","M","W","2004"
"508389","2022-05-31","2022-05-31","Rampart","THEFT OF IDENTITY","21","F","H","2002"
"508390","2022-01-17","2022-01-17","Newton","ROBBERY","29","F","B","1994"
"508391","2022-12-17","2022-12-17","Topanga","BIKE - STOLEN","28","F","H","1995"
"508392","2022-11-15","2022-11-15","77th Street","THEFT OF IDENTITY","47","F","H","1976"
"508393","2022-12-17","2022-12-17","N Hollywood","INTIMATE PARTNER - SIMPLE ASSAULT","40","M","W","1983"
"508394","2022-12-13","2022-12-13","Southwest","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","22","X","X","2001"
"508395","2022-06-27","2022-06-27","Wilshire","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","46","F","B","1977"
"508396","2022-05-23","2022-05-23","Northeast","BATTERY - SIMPLE ASSAULT","37","F","H","1986"
